UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
209603, 2,"R",22,"Z",0,"R",22,"R",10,"R",0,"R",10,"R",13,"Z",0,"R",13,"R",3,"R",0,"R",3,"R",25,"Z",0,"R",25,"R",13,"R",0,"R",13,"R",60,"R",0,"R",60,"R",26,"R",0,"R",26
209612, 1,"R",143,"R",0,"R",143,"R",87,"R",0,"R",87,"R",152,"R",1,"R",151,"R",107,"R",0,"R",107,"R",126,"R",1,"R",125,"R",94,"R",0,"R",94,"R",421,"R",2,"R",419,"R",288,"R",0,"R",288
209612, 2,"R",143,"R",0,"R",143,"R",87,"R",0,"R",87,"R",152,"R",1,"R",151,"R",107,"R",0,"R",107,"R",126,"R",1,"R",125,"R",94,"R",0,"R",94,"R",421,"R",2,"R",419,"R",288,"R",0,"R",288
209667, 4,"R",37,"Z",0,"R",37,"A",,"A",,"R",25,"R",6,"Z",0,"R",6,"A",,"A",,"R",5,"R",2,"Z",0,"R",2,"A",,"A",,"R",2,"R",45,"R",0,"R",45,"A",,"A",,"R",32
209676, 4,"R",49,"Z",0,"R",49,"A",,"A",,"R",42,"R",21,"Z",0,"R",21,"A",,"A",,"R",21,"R",14,"Z",0,"R",14,"A",,"A",,"R",12,"R",84,"R",0,"R",84,"A",,"A",,"R",75
209694, 4,"R",13,"Z",0,"R",13,"A",,"A",,"R",6,"R",8,"Z",0,"R",8,"A",,"A",,"R",2,"R",5,"Z",0,"R",5,"A",,"A",,"R",5,"R",26,"R",0,"R",26,"A",,"A",,"R",13
209700, 4,"R",42,"Z",0,"R",42,"A",,"A",,"R",22,"R",5,"Z",0,"R",5,"A",,"A",,"R",4,"R",2,"Z",0,"R",2,"A",,"A",,"R",2,"R",49,"R",0,"R",49,"A",,"A",,"R",28
209719, 4,"R",29,"Z",0,"R",29,"A",,"A",,"R",25,"R",2,"Z",0,"R",2,"A",,"A",,"R",0,"R",13,"Z",0,"R",13,"A",,"A",,"R",3,"R",44,"R",0,"R",44,"A",,"A",,"R",28
209746, 4,"R",769,"Z",0,"R",769,"A",,"A",,"R",164,"R",88,"Z",0,"R",88,"A",,"A",,"R",9,"R",997,"Z",0,"R",997,"A",,"A",,"R",232,"R",1854,"R",0,"R",1854,"A",,"A",,"R",405
209807, 1,"R",662,"R",0,"R",662,"R",312,"R",0,"R",312,"R",223,"R",0,"R",223,"R",106,"R",0,"R",106,"R",632,"R",0,"R",632,"R",312,"R",0,"R",312,"R",1517,"R",0,"R",1517,"R",730,"R",0,"R",730
209807, 2,"R",662,"Z",0,"R",662,"R",312,"R",0,"R",312,"R",223,"Z",0,"R",223,"R",106,"R",0,"R",106,"R",632,"Z",0,"R",632,"R",312,"R",0,"R",312,"R",1517,"R",0,"R",1517,"R",730,"R",0,"R",730
209825, 1,"R",179,"R",0,"R",179,"R",142,"R",0,"R",142,"R",212,"R",0,"R",212,"R",176,"R",0,"R",176,"R",443,"R",0,"R",443,"R",361,"R",0,"R",361,"R",834,"R",0,"R",834,"R",679,"R",0,"R",679
209825, 2,"R",179,"Z",0,"R",179,"R",142,"R",0,"R",142,"R",212,"Z",0,"R",212,"R",176,"R",0,"R",176,"R",443,"Z",0,"R",443,"R",361,"R",0,"R",361,"R",834,"R",0,"R",834,"R",679,"R",0,"R",679
209922, 1,"R",72,"R",0,"R",72,"R",60,"R",0,"R",60,"R",66,"R",0,"R",66,"R",52,"R",0,"R",52,"R",216,"R",0,"R",216,"R",156,"R",0,"R",156,"R",354,"R",0,"R",354,"R",268,"R",0,"R",268
209922, 2,"R",72,"Z",0,"R",72,"R",60,"R",0,"R",60,"R",66,"Z",0,"R",66,"R",52,"R",0,"R",52,"R",216,"Z",0,"R",216,"R",156,"R",0,"R",156,"R",354,"R",0,"R",354,"R",268,"R",0,"R",268
209940, 4,"R",256,"Z",0,"R",256,"A",,"A",,"R",22,"R",9,"Z",0,"R",9,"A",,"A",,"R",0,"R",141,"Z",0,"R",141,"A",,"A",,"R",16,"R",406,"R",0,"R",406,"A",,"A",,"R",38
210076, 1,"R",154,"R",0,"R",154,"R",8,"R",94,"R",102,"R",29,"R",0,"R",29,"R",0,"R",24,"R",24,"R",25,"R",0,"R",25,"R",0,"R",14,"R",14,"R",208,"R",0,"R",208,"R",8,"R",132,"R",140
210076, 2,"R",13,"Z",0,"R",13,"R",4,"R",2,"R",6,"R",1,"Z",0,"R",1,"R",0,"R",0,"R",0,"R",2,"Z",0,"R",2,"R",0,"R",1,"R",1,"R",16,"R",0,"R",16,"R",4,"R",3,"R",7
210076, 3,"R",141,"Z",0,"R",141,"R",4,"R",92,"R",96,"R",28,"Z",0,"R",28,"R",0,"R",24,"R",24,"R",23,"Z",0,"R",23,"R",0,"R",13,"R",13,"R",192,"R",0,"R",192,"R",4,"R",129,"R",133
210146, 1,"R",238,"R",0,"R",238,"R",89,"R",0,"R",89,"R",105,"R",0,"R",105,"R",52,"R",0,"R",52,"R",252,"R",1,"R",251,"R",131,"R",0,"R",131,"R",595,"R",1,"R",594,"R",272,"R",0,"R",272
210146, 2,"R",238,"R",0,"R",238,"R",89,"R",0,"R",89,"R",105,"R",0,"R",105,"R",52,"R",0,"R",52,"R",252,"R",1,"R",251,"R",131,"R",0,"R",131,"R",595,"R",1,"R",594,"R",272,"R",0,"R",272
210155, 4,"R",216,"Z",0,"R",216,"A",,"A",,"R",72,"R",38,"Z",0,"R",38,"A",,"A",,"R",13,"R",189,"Z",0,"R",189,"A",,"A",,"R",79,"R",443,"R",0,"R",443,"A",,"A",,"R",164
210234, 4,"R",187,"Z",0,"R",187,"A",,"A",,"R",38,"R",41,"Z",0,"R",41,"A",,"A",,"R",8,"R",105,"Z",0,"R",105,"A",,"A",,"R",50,"R",333,"R",0,"R",333,"A",,"A",,"R",96
210270, 4,"R",197,"Z",0,"R",197,"A",,"A",,"R",56,"R",6,"Z",0,"R",6,"A",,"A",,"R",1,"R",142,"Z",0,"R",142,"A",,"A",,"R",47,"R",345,"R",0,"R",345,"A",,"A",,"R",104
210304, 1,"R",47,"R",0,"R",47,"R",20,"R",1,"R",21,"R",22,"R",0,"R",22,"R",10,"R",0,"R",10,"R",5,"R",0,"R",5,"R",3,"R",0,"R",3,"R",74,"R",0,"R",74,"R",33,"R",1,"R",34
210304, 2,"R",46,"Z",0,"R",46,"R",20,"R",0,"R",20,"R",22,"Z",0,"R",22,"R",10,"R",0,"R",10,"R",5,"Z",0,"R",5,"R",3,"R",0,"R",3,"R",73,"R",0,"R",73,"R",33,"R",0,"R",33
210304, 3,"R",1,"Z",0,"R",1,"Z",0,"R",1,"R",1,"R",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",0,"R",1,"R",1
210331, 1,"R",73,"R",0,"R",73,"R",44,"R",0,"R",44,"R",75,"R",0,"R",75,"R",48,"R",0,"R",48,"R",74,"R",0,"R",74,"R",54,"R",0,"R",54,"R",222,"R",0,"R",222,"R",146,"R",0,"R",146
210331, 2,"R",73,"Z",0,"R",73,"R",44,"R",0,"R",44,"R",75,"Z",0,"R",75,"R",48,"R",0,"R",48,"R",74,"Z",0,"R",74,"R",54,"R",0,"R",54,"R",222,"R",0,"R",222,"R",146,"R",0,"R",146
210340, 4,"R",10,"Z",0,"R",10,"A",,"A",,"R",6,"R",1,"Z",0,"R",1,"A",,"A",,"R",1,"R",2,"Z",0,"R",2,"A",,"A",,"R",1,"R",13,"R",0,"R",13,"A",,"A",,"R",8
